PSS10_avg,Dem_age
2.4,45
4,31
2,52
NA,40
1.9,38
2.6,63
2.7,38
2.7,46
2.7,70
3,50
3.1,35
1.8,49
1.5,55
3.4,55
NA,46
NA,42
3.1,38
4.1,33
2.4,35
2.2,46
1.6,35
2.1,53
1.8,29
3.1,31
2.1,56
NA,20
3.8,20
2.5,52
2.4,39
1.4,22
NA,30
2.5,27
2.4,68
NA,39
2.75,63
NA,49
2.2,38
3.4,30
3.7,35
2.6,49
2.8,33
4.1,22
3.7,21
2.9,18
2.9,58
2.8,40
3.2,23
2.9,25
3.7,26
3.2,24
4,26
3.6,23
2.7,52
NA,51
3.8,26
2.6,69
NA,52
3.3,21
2.2,58
3.3,37
2,40
3.2,25
4.4,29
2,28
2.7,52
2.2,45
3,20
2.9,40
1.8,49
2.2,41
1.6,64
3.4,26
NA,51
3.6,61
2.4,27
2.6,34
2.7,50
1.2,65
NA,24
1.3,54
2.9,35
2.77777777777778,59
3,49
NA,49
3,39
2.6,25
3.4,39
3.4,39
4.6,44
NA,64
NA,41
2.2,18
3.2,39
2.6,36
2,44
NA,40
3.2,40
NA,64
3.9,25
NA,47
2.3,46
3.2,44
NA,50
2.2,67
NA,52
2.5,20
2.66666666666667,71
3.5,56
2.3,42
2,55
2.4,43
2.3,35
NA,18
3.3,24
1.7,68
2.3,43
2.3,25
2.1,39
3.4,70
3,22
2,25
2.4,66
2.7,31
3,34
1.7,38
2.4,50
NA,49
1.2,63
NA,53
3.2,18
2.9,71
3.3,23
1.66666666666667,60
2.8,45
2.57142857142857,50
1,53
3.6,28
2.8,27
NA,61
2.2,60
2.8,47
2.3,40
4.5,58
2.8,25
3.2,44
2.4,49
2.2,33
3.5,41
2.6,44
2.7,51
2.7,59
NA,47
3.1,27
1.7,42
1.2,46
2.8,69
1.9,64
2.3,48
2.2,51
2,45
4.2,38
2,71
3,18
2.9,55
2.6,54
1.2,60
NA,56
2.6,50
3.7,22
3.2,39
1.9,64
1,47
3.3,46
NA,45
2.6,45
3.3,20
2,42
1.7,56
NA,37
NA,33
